"Date","Sales","Category"
"2024-05-20",278,"Electronics"
"2024-01-24",400,"Clothing"
"2024-05-09",480,"Clothing"
"2024-06-13",897,"Electronics"
"2024-07-09",480,"Clothing"
"2024-03-16",540,"Electronics"
"2024-09-25",716,"Furniture"
"2024-06-18",635,"Furniture"
"2024-07-16",729,"Electronics"
"2024-12-27",1161,"Furniture"
"2024-08-21",475,"Furniture"
"2024-03-04",639,"Clothing"
"2024-03-20",597,"Clothing"
"2024-02-05",1002,"Clothing"
"2024-10-17",546,"Electronics"
"2024-09-09",684,"Clothing"
"2024-12-08",857,"Clothing"
"2024-11-18",488,"Clothing"
"2024-02-17",1031,"Furniture"
"2024-04-20",835,"Electronics"
"2024-10-05",485,"Furniture"
"2024-11-12",791,"Clothing"
"2024-10-21",657,"Clothing"
"2024-08-09",763,"Clothing"
"2024-10-13",682,"Clothing"
"2024-08-09",914,"Clothing"
"2024-03-13",430,"Electronics"
"2024-10-18",595,"Furniture"
"2024-08-13",650,"Electronics"
"2024-10-04",501,"Electronics"
"2024-06-20",492,"Clothing"
"2024-10-23",696,"Clothing"
"2024-12-13",674,"Furniture"
"2024-04-02",190,"Furniture"
"2024-05-04",908,"Furniture"
"2024-10-25",750,"Furniture"
"2024-02-08",1183,"Furniture"
"2024-08-24",837,"Clothing"
"2024-06-13",611,"Electronics"
"2024-04-16",1259,"Furniture"
"2024-02-02",1266,"Clothing"
"2024-03-23",456,"Furniture"
"2024-12-19",794,"Electronics"
"2024-10-03",658,"Clothing"
"2024-07-27",737,"Clothing"
"2024-03-16",746,"Furniture"
"2024-04-03",448,"Furniture"
"2024-10-17",757,"Electronics"
"2024-01-30",1050,"Furniture"
"2024-08-04",667,"Electronics"
"2024-06-23",667,"Clothing"
"2024-11-18",980,"Furniture"
"2024-04-24",880,"Electronics"
"2024-12-03",370,"Clothing"
"2024-04-05",746,"Clothing"
"2024-12-23",1031,"Electronics"
"2024-06-18",983,"Electronics"
"2024-04-05",784,"Electronics"
"2024-01-26",844,"Furniture"
"2024-08-17",461,"Electronics"
"2024-05-27",760,"Electronics"
"2024-12-15",509,"Electronics"
"2024-07-20",608,"Furniture"
"2024-03-21",887,"Clothing"
"2024-12-03",473,"Clothing"
"2024-08-19",753,"Clothing"
"2024-08-30",786,"Furniture"
"2024-04-15",711,"Furniture"
"2024-01-11",1064,"Clothing"
"2024-04-22",496,"Furniture"
"2024-12-29",821,"Electronics"
"2024-05-20",682,"Furniture"
"2024-01-31",648,"Electronics"
"2024-04-24",793,"Furniture"
"2024-10-04",496,"Furniture"
"2024-04-03",437,"Clothing"
"2024-07-20",601,"Clothing"
"2024-01-16",1050,"Clothing"
"2024-07-15",711,"Electronics"
"2024-06-26",766,"Electronics"
"2024-06-25",662,"Furniture"
"2024-01-12",794,"Electronics"
"2024-03-06",510,"Furniture"
"2024-02-19",932,"Clothing"
"2024-07-22",817,"Clothing"
"2024-06-23",539,"Electronics"
"2024-05-13",711,"Clothing"
"2024-05-01",843,"Furniture"
"2024-11-10",812,"Furniture"
"2024-09-15",996,"Electronics"
"2024-12-18",577,"Clothing"
"2024-09-04",923,"Electronics"
"2024-10-15",907,"Electronics"
"2024-02-17",668,"Electronics"
"2024-11-26",505,"Clothing"
"2024-04-09",482,"Clothing"
"2024-04-17",792,"Furniture"
"2024-10-27",686,"Electronics"
"2024-01-10",1056,"Clothing"
"2024-06-18",807,"Furniture"
"2024-10-06",626,"Furniture"
"2024-12-13",495,"Furniture"
"2024-07-27",584,"Furniture"
"2024-11-10",769,"Clothing"
"2024-05-16",610,"Clothing"
"2024-11-04",803,"Clothing"
"2024-04-17",633,"Furniture"
"2024-01-08",679,"Furniture"
"2024-04-23",554,"Electronics"
"2024-09-17",1081,"Furniture"
"2024-01-29",767,"Furniture"
"2024-11-01",746,"Electronics"
"2024-11-21",362,"Clothing"
"2024-03-14",832,"Electronics"
"2024-10-08",495,"Furniture"
"2024-03-13",522,"Furniture"
"2024-09-23",884,"Clothing"
"2024-09-18",609,"Electronics"
"2024-08-11",350,"Furniture"
"2024-07-22",1054,"Furniture"
"2024-07-29",225,"Furniture"
"2024-08-06",815,"Electronics"
"2024-07-02",903,"Clothing"
"2024-12-17",574,"Clothing"
"2024-06-03",789,"Clothing"
"2024-04-28",788,"Electronics"
"2024-12-09",908,"Furniture"
"2024-03-07",797,"Electronics"
"2024-04-19",651,"Furniture"
"2024-05-13",883,"Clothing"
"2024-02-05",860,"Electronics"
"2024-02-24",513,"Furniture"
"2024-08-27",420,"Furniture"
"2024-04-29",732,"Furniture"
"2024-12-15",645,"Electronics"
"2024-10-30",503,"Furniture"
"2024-01-10",717,"Electronics"
"2024-06-01",436,"Clothing"
"2024-04-09",732,"Furniture"
"2024-04-14",575,"Clothing"
"2024-10-07",891,"Electronics"
"2024-06-28",1185,"Clothing"
"2024-10-04",517,"Furniture"
"2024-08-28",912,"Clothing"
"2024-01-24",865,"Furniture"
"2024-06-15",686,"Furniture"
"2024-02-16",609,"Clothing"
"2024-07-09",1015,"Electronics"
"2024-02-06",299,"Furniture"
"2024-06-22",571,"Electronics"
"2024-02-23",413,"Clothing"
"2024-10-29",979,"Clothing"
"2024-07-25",662,"Furniture"
"2024-01-19",595,"Electronics"
"2024-07-18",1337,"Furniture"
"2024-06-07",690,"Electronics"
"2024-02-06",611,"Furniture"
"2024-04-12",760,"Furniture"
"2024-08-31",386,"Furniture"
"2024-02-17",798,"Clothing"
"2024-07-06",681,"Clothing"
"2024-05-18",794,"Furniture"
"2024-10-25",504,"Furniture"
"2024-06-06",495,"Electronics"
"2024-07-07",561,"Electronics"
"2024-11-06",546,"Clothing"
"2024-07-07",960,"Furniture"
"2024-02-26",1016,"Furniture"
"2024-02-07",669,"Clothing"
"2024-03-24",628,"Furniture"
"2024-11-14",634,"Furniture"
"2024-06-22",714,"Electronics"
"2024-11-29",719,"Furniture"
"2024-11-21",758,"Clothing"
"2024-05-09",551,"Clothing"
"2024-04-29",531,"Electronics"
"2024-07-18",939,"Furniture"
"2024-11-26",590,"Furniture"
"2024-01-21",761,"Electronics"
"2024-07-17",689,"Furniture"
"2024-03-27",508,"Clothing"
"2024-03-12",818,"Clothing"
"2024-11-10",735,"Clothing"
"2024-07-20",980,"Electronics"
"2024-06-13",723,"Furniture"
"2024-03-21",634,"Electronics"
"2024-02-24",756,"Electronics"
"2024-05-13",463,"Electronics"
"2024-08-31",533,"Electronics"
"2024-01-06",802,"Electronics"
"2024-05-07",633,"Clothing"
"2024-06-04",687,"Furniture"
"2024-10-14",677,"Electronics"
"2024-02-18",570,"Clothing"
"2024-08-14",296,"Clothing"
"2024-08-26",770,"Electronics"
"2024-12-05",852,"Electronics"
"2024-07-11",442,"Furniture"
"2024-07-15",996,"Electronics"
"2024-10-29",777,"Electronics"
"2024-05-27",968,"Furniture"
"2024-07-08",509,"Electronics"
"2024-04-21",733,"Electronics"
"2024-07-09",680,"Furniture"
"2024-04-28",854,"Clothing"
"2024-04-24",585,"Clothing"
"2024-01-10",698,"Clothing"
"2024-04-24",344,"Furniture"
"2024-02-28",544,"Furniture"
"2024-10-31",725,"Electronics"
"2024-03-01",559,"Furniture"
"2024-04-17",691,"Clothing"
"2024-10-18",606,"Furniture"
"2024-01-23",821,"Electronics"
"2024-04-24",934,"Electronics"
"2024-03-28",535,"Clothing"
"2024-05-11",639,"Clothing"
"2024-07-04",988,"Clothing"
"2024-09-07",260,"Clothing"
"2024-07-21",636,"Clothing"
"2024-09-02",1113,"Clothing"
"2024-09-02",1139,"Electronics"
"2024-06-26",731,"Furniture"
"2024-09-07",527,"Electronics"
"2024-02-17",733,"Furniture"
"2024-05-10",569,"Furniture"
"2024-02-02",991,"Furniture"
"2024-06-10",539,"Clothing"
"2024-11-17",775,"Clothing"
"2024-03-04",824,"Electronics"
"2024-06-16",548,"Clothing"
"2024-10-02",870,"Electronics"
"2024-03-18",550,"Furniture"
"2024-06-01",826,"Furniture"
"2024-07-17",919,"Electronics"
"2024-04-04",502,"Clothing"
"2024-12-07",922,"Clothing"
"2024-08-08",602,"Clothing"
"2024-07-02",759,"Furniture"
"2024-06-09",740,"Electronics"
"2024-04-17",615,"Furniture"
"2024-08-29",754,"Electronics"
"2024-06-29",454,"Clothing"
"2024-10-28",673,"Furniture"
"2024-01-24",865,"Furniture"
"2024-11-11",265,"Electronics"
"2024-08-16",402,"Electronics"
"2024-08-11",468,"Clothing"
"2024-09-29",382,"Clothing"
"2024-07-05",784,"Electronics"
"2024-06-19",501,"Furniture"
"2024-01-23",267,"Clothing"
"2024-08-05",572,"Furniture"
"2024-10-27",622,"Electronics"
"2024-05-15",871,"Clothing"
"2024-03-19",479,"Furniture"
"2024-06-12",932,"Clothing"
"2024-08-24",780,"Furniture"
"2024-03-07",772,"Clothing"
"2024-10-21",529,"Clothing"
"2024-08-05",1091,"Electronics"
"2024-10-10",667,"Furniture"
"2024-07-27",335,"Clothing"
"2024-03-27",659,"Electronics"
"2024-06-29",313,"Electronics"
"2024-12-23",638,"Clothing"
"2024-05-17",616,"Clothing"
"2024-12-30",836,"Electronics"
"2024-12-23",902,"Clothing"
"2024-02-10",555,"Electronics"
"2024-05-08",861,"Furniture"
"2024-12-01",985,"Electronics"
"2024-08-19",543,"Electronics"
"2024-11-29",570,"Clothing"
"2024-08-05",830,"Electronics"
"2024-11-23",737,"Clothing"
"2024-05-06",810,"Furniture"
"2024-02-10",981,"Furniture"
"2024-09-20",777,"Clothing"
"2024-07-03",910,"Clothing"
"2024-07-19",825,"Electronics"
"2024-02-21",787,"Clothing"
"2024-08-12",777,"Electronics"
"2024-03-07",958,"Electronics"
"2024-06-16",500,"Furniture"
"2024-09-14",479,"Furniture"
"2024-03-05",818,"Furniture"
"2024-01-29",676,"Furniture"
"2024-01-20",715,"Electronics"
"2024-07-24",848,"Electronics"
"2024-05-03",851,"Electronics"
"2024-03-20",647,"Furniture"
"2024-09-19",637,"Furniture"
"2024-08-15",715,"Furniture"
"2024-02-14",913,"Clothing"
"2024-11-27",785,"Furniture"
"2024-10-07",987,"Clothing"
"2024-03-31",698,"Furniture"
"2024-05-20",925,"Clothing"
"2024-05-17",877,"Clothing"
"2024-04-03",822,"Clothing"
"2024-05-06",783,"Electronics"
"2024-09-24",644,"Clothing"
"2024-01-08",678,"Clothing"
"2024-11-22",746,"Furniture"
"2024-09-27",710,"Electronics"
"2024-03-23",889,"Electronics"
"2024-08-22",678,"Furniture"
"2024-06-15",686,"Furniture"
"2024-09-11",603,"Electronics"
"2024-03-27",672,"Furniture"
"2024-05-01",686,"Electronics"
"2024-03-11",237,"Clothing"
"2024-09-16",427,"Clothing"
"2024-03-21",686,"Electronics"
"2024-09-20",647,"Clothing"
"2024-03-07",460,"Electronics"
"2024-12-29",302,"Clothing"
"2024-08-25",629,"Clothing"
"2024-09-26",831,"Clothing"
"2024-05-13",1055,"Clothing"
"2024-05-16",692,"Clothing"
"2024-06-09",999,"Electronics"
"2024-04-25",717,"Clothing"
"2024-02-15",723,"Clothing"
"2024-03-04",765,"Clothing"
"2024-01-19",526,"Electronics"
"2024-08-16",690,"Clothing"
"2024-04-07",882,"Furniture"
"2024-05-08",550,"Clothing"
"2024-08-07",636,"Electronics"
"2024-06-28",470,"Clothing"
"2024-08-09",771,"Furniture"
"2024-11-19",785,"Electronics"
"2024-03-30",830,"Clothing"
"2024-05-01",456,"Electronics"
"2024-11-26",721,"Clothing"
"2024-10-01",511,"Clothing"
"2024-10-17",700,"Electronics"
"2024-08-18",969,"Electronics"
"2024-07-15",599,"Clothing"
"2024-11-12",843,"Furniture"
"2024-06-17",550,"Clothing"
"2024-08-04",604,"Electronics"
"2024-02-18",788,"Clothing"
"2024-12-06",564,"Electronics"
"2024-03-09",359,"Clothing"
"2024-11-15",953,"Electronics"
"2024-03-16",772,"Electronics"
"2024-01-02",583,"Furniture"
"2024-09-30",301,"Clothing"
"2024-09-16",1080,"Electronics"
"2024-04-15",1378,"Furniture"
"2024-04-20",741,"Electronics"
"2024-12-08",870,"Electronics"
"2024-03-12",945,"Furniture"
"2024-08-16",560,"Clothing"
"2024-01-11",630,"Furniture"
"2024-07-25",355,"Furniture"
"2024-11-30",553,"Clothing"
"2024-02-25",824,"Clothing"
"2024-04-15",642,"Furniture"
"2024-09-27",657,"Furniture"
"2024-07-25",677,"Electronics"
"2024-12-29",327,"Electronics"
"2024-03-29",868,"Furniture"
"2024-10-18",411,"Clothing"
"2024-09-19",658,"Clothing"
"2024-03-08",612,"Clothing"
"2024-04-29",656,"Furniture"
"2024-08-19",992,"Clothing"
"2024-02-22",584,"Electronics"
"2024-12-22",543,"Furniture"
"2024-10-06",396,"Clothing"
"2024-08-17",539,"Clothing"
"2024-11-19",467,"Clothing"
"2024-11-18",782,"Clothing"
"2024-01-11",527,"Furniture"
"2024-03-14",761,"Clothing"
"2024-09-12",671,"Electronics"
"2024-12-14",413,"Clothing"
"2024-03-28",542,"Clothing"
"2024-12-10",877,"Electronics"
"2024-01-11",881,"Clothing"
"2024-03-14",1101,"Clothing"
"2024-08-30",699,"Electronics"
"2024-07-06",401,"Furniture"
"2024-10-13",546,"Electronics"
"2024-11-25",782,"Furniture"
"2024-06-21",1080,"Clothing"
"2024-11-10",722,"Electronics"
"2024-10-06",928,"Electronics"
"2024-10-17",854,"Furniture"
"2024-08-29",466,"Electronics"
"2024-09-22",666,"Clothing"
"2024-03-04",961,"Electronics"
"2024-11-23",875,"Clothing"
"2024-06-20",793,"Electronics"
"2024-10-24",795,"Electronics"
"2024-06-08",602,"Furniture"
"2024-06-15",436,"Clothing"
"2024-06-14",959,"Furniture"
"2024-01-17",416,"Electronics"
"2024-08-16",512,"Clothing"
"2024-12-30",826,"Electronics"
"2024-03-19",448,"Clothing"
"2024-08-14",590,"Clothing"
"2024-11-17",463,"Clothing"
"2024-11-21",824,"Clothing"
"2024-04-19",789,"Electronics"
"2024-11-10",784,"Clothing"
"2024-08-30",788,"Clothing"
"2024-09-21",811,"Clothing"
"2024-01-23",828,"Furniture"
"2024-10-07",306,"Electronics"
"2024-04-21",670,"Clothing"
"2024-04-02",722,"Electronics"
"2024-10-03",845,"Clothing"
"2024-04-28",463,"Furniture"
"2024-02-17",600,"Clothing"
"2024-09-04",485,"Clothing"
"2024-04-14",911,"Electronics"
"2024-06-19",956,"Electronics"
"2024-07-02",858,"Clothing"
"2024-01-04",456,"Electronics"
"2024-11-22",790,"Clothing"
"2024-11-07",930,"Electronics"
"2024-02-19",734,"Clothing"
"2024-05-18",587,"Clothing"
"2024-09-02",483,"Clothing"
"2024-11-26",567,"Clothing"
"2024-11-11",843,"Furniture"
"2024-09-06",614,"Furniture"
"2024-08-17",746,"Furniture"
"2024-03-25",959,"Furniture"
"2024-11-25",816,"Furniture"
"2024-04-30",973,"Clothing"
"2024-04-23",360,"Furniture"
"2024-07-13",644,"Electronics"
"2024-04-08",713,"Clothing"
"2024-04-07",816,"Electronics"
"2024-02-27",466,"Clothing"
"2024-01-13",861,"Electronics"
"2024-01-08",761,"Furniture"
"2024-09-14",753,"Furniture"
"2024-05-02",802,"Clothing"
"2024-09-18",677,"Clothing"
"2024-03-27",885,"Furniture"
"2024-01-17",830,"Clothing"
"2024-07-24",670,"Electronics"
"2024-07-17",908,"Furniture"
"2024-03-17",759,"Electronics"
"2024-11-23",834,"Clothing"
"2024-12-23",581,"Electronics"
"2024-08-21",1016,"Furniture"
"2024-01-17",699,"Electronics"
"2024-11-22",870,"Electronics"
"2024-02-24",680,"Electronics"
"2024-01-19",644,"Furniture"
"2024-08-28",857,"Furniture"
"2024-09-27",383,"Clothing"
"2024-08-05",796,"Electronics"
"2024-06-03",779,"Electronics"
"2024-07-27",161,"Electronics"
"2024-02-02",774,"Clothing"
"2024-11-01",266,"Electronics"
"2024-09-30",832,"Clothing"
"2024-05-27",609,"Furniture"
"2024-12-12",561,"Furniture"
"2024-10-24",699,"Furniture"
"2024-03-14",975,"Clothing"
"2024-02-22",573,"Furniture"
"2024-11-14",812,"Electronics"
"2024-11-24",768,"Furniture"
"2024-06-07",464,"Clothing"
"2024-12-04",352,"Furniture"
"2024-02-24",301,"Clothing"
"2024-09-03",810,"Clothing"
"2024-01-18",693,"Electronics"
"2024-12-29",1070,"Electronics"
"2024-02-13",815,"Clothing"
"2024-12-13",870,"Electronics"
"2024-01-21",967,"Furniture"
"2024-01-29",600,"Clothing"
"2024-03-24",802,"Electronics"
"2024-01-23",874,"Furniture"
"2024-02-11",974,"Electronics"
"2024-07-15",853,"Electronics"
"2024-07-12",784,"Furniture"
"2024-03-22",526,"Clothing"
"2024-11-13",846,"Clothing"
"2024-03-04",800,"Furniture"
"2024-03-17",827,"Clothing"
"2024-04-16",785,"Clothing"
"2024-06-27",660,"Electronics"
"2024-05-25",685,"Clothing"
"2024-09-22",837,"Furniture"
"2024-07-19",734,"Clothing"
"2024-12-20",534,"Furniture"
"2024-12-04",642,"Electronics"
"2024-07-18",436,"Clothing"
"2024-08-24",507,"Clothing"
"2024-09-14",671,"Electronics"
"2024-09-10",340,"Clothing"
"2024-04-21",362,"Electronics"
"2024-01-05",921,"Clothing"
"2024-04-09",585,"Furniture"
"2024-05-22",330,"Clothing"
"2024-08-21",677,"Furniture"
"2024-04-12",964,"Clothing"
"2024-02-27",832,"Clothing"
"2024-10-16",788,"Clothing"
"2024-10-13",937,"Furniture"
"2024-01-18",546,"Clothing"
"2024-10-28",846,"Furniture"
"2024-09-21",583,"Electronics"
"2024-03-19",700,"Electronics"
"2024-05-14",1143,"Clothing"
"2024-11-16",894,"Furniture"
"2024-01-09",854,"Furniture"
"2024-12-20",478,"Furniture"
"2024-10-07",543,"Clothing"
"2024-05-09",1157,"Clothing"
"2024-07-14",481,"Clothing"
"2024-02-09",743,"Electronics"
"2024-05-27",879,"Clothing"
"2024-05-18",904,"Clothing"
"2024-01-18",918,"Electronics"
"2024-12-13",667,"Clothing"
"2024-03-07",536,"Electronics"
"2024-12-31",639,"Clothing"
"2024-08-07",520,"Furniture"
"2024-04-02",825,"Furniture"
"2024-02-08",924,"Clothing"
"2024-05-30",1125,"Furniture"
"2024-03-19",773,"Electronics"
"2024-12-09",525,"Clothing"
"2024-06-16",905,"Furniture"
"2024-06-09",881,"Clothing"
"2024-01-29",652,"Electronics"
"2024-04-30",388,"Electronics"
"2024-08-28",852,"Clothing"
"2024-06-01",926,"Clothing"
"2024-02-11",641,"Clothing"
"2024-02-13",807,"Furniture"
"2024-08-11",645,"Clothing"
"2024-01-08",836,"Electronics"
"2024-02-08",677,"Clothing"
"2024-12-17",631,"Electronics"
"2024-11-16",722,"Electronics"
"2024-12-15",643,"Furniture"
"2024-11-09",582,"Electronics"
"2024-08-04",637,"Electronics"
"2024-07-02",698,"Electronics"
"2024-06-19",741,"Clothing"
