date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
06-02-15,shot,gun,25,M,B,Oklahoma City,OK,FALSE,attack,Not fleeing,FALSE,-97.515,35.404
07-02-15,shot,toy weapon,26,M,W,Calimesa,CA,FALSE,attack,Not fleeing,FALSE,-117.057,33.994
07-02-15,shot,gun,74,M,B,Gastonia,NC,FALSE,attack,Not fleeing,FALSE,-81.227,35.266
08-02-15,shot,gun,33,M,W,Anchorage,AK,FALSE,attack,Car,FALSE,-149.859,61.208
08-02-15,shot,gun,27,M,W,Austin,TX,FALSE,attack,Not fleeing,FALSE,-97.891,30.244
08-02-15,shot,gun,57,M,W,New City,NY,TRUE,attack,Not fleeing,FALSE,-74.001,41.152
08-02-15,shot,gun,46,M,W,Orange County,FL,FALSE,attack,Not fleeing,FALSE,-81.329,28.482
08-02-15,shot,gun,41,M,W,Nocona,TX,FALSE,attack,Not fleeing,FALSE,-97.712,33.787
09-02-15,shot,gun,61,M,W,Smyrna,ME,TRUE,undetermined,Not fleeing,FALSE,-68.104,46.159
09-02-15,shot,gun,45,M,B,Dallas,TX,FALSE,attack,Not fleeing,FALSE,-96.751,32.655
10-02-15,shot,gun,49,M,B,Whitehaven,TN,FALSE,attack,Not fleeing,FALSE,-90.054,35.025
10-02-15,shot,gun,45,M,W,New Castle,CO,TRUE,attack,Car,FALSE,-107.454,39.573
10-02-15,shot and Tasered,unarmed,35,M,H,Pasco,WA,TRUE,other,Foot,FALSE,-119.101,46.228
11-02-15,shot,knife,23,M,B,San Jose,CA,TRUE,other,Not fleeing,FALSE,-121.876,37.316
11-02-15,shot,toy weapon,46,M,W,Dadeville,AL,TRUE,attack,Foot,TRUE,-85.724,32.864
13-02-15,shot,,23,M,W,San Bernardino,CA,FALSE,attack,Car,FALSE,-117.333,34.165
13-02-15,shot,gun,21,M,H,Kansas City,KS,FALSE,attack,Car,FALSE,-94.64,39.071
13-02-15,shot,unarmed,35,M,H,Reading,PA,FALSE,other,Not fleeing,FALSE,-75.908,40.329
13-02-15,shot,gun,27,M,W,McLemoresville,TN,FALSE,attack,Not fleeing,FALSE,-88.572,35.95
13-02-15,shot,knife,37,M,H,San Manuel,AZ,TRUE,other,Not fleeing,FALSE,-110.628,32.614
14-02-15,shot,gun,16,M,W,Essex,MD,TRUE,attack,Car,FALSE,-76.44,39.299
14-02-15,shot,gun,51,M,W,Laredo,TX,FALSE,attack,Not fleeing,FALSE,-99.474,27.554
15-02-15,shot,gun,34,M,W,Iuka,MS,FALSE,attack,Foot,FALSE,-88.205,34.804
15-02-15,shot,hatchet,34,M,W,Colton,OR,TRUE,other,Not fleeing,FALSE,-122.437,45.175
15-02-15,shot and Tasered,unarmed,25,M,B,Miami Gardens,FL,TRUE,other,Not fleeing,FALSE,-80.208,25.951
16-02-15,shot,gun,56,M,W,Marana,AZ,FALSE,attack,Not fleeing,FALSE,-111.09,32.359
16-02-15,shot,gun,26,M,W,Boise,ID,FALSE,attack,Not fleeing,FALSE,-116.222,43.579
16-02-15,shot,toy weapon,24,M,W,Provo,UT,TRUE,attack,Not fleeing,FALSE,-111.624,40.103
17-02-15,shot,gun,43,F,W,Gaston County,NC,FALSE,attack,Not fleeing,FALSE,-81.169,35.229
17-02-15,shot,unarmed,31,M,W,Springfield,MO,FALSE,other,Foot,FALSE,-93.319,37.225
17-02-15,shot,gun,32,M,W,Eaton Rapids Township,MI,FALSE,attack,Not fleeing,FALSE,-84.701,42.514
17-02-15,shot,toy weapon,30,M,W,Tewksbury,MA,FALSE,attack,Foot,FALSE,-71.284,42.614
17-02-15,shot,,50,M,H,Del Rio,TX,FALSE,other,Not fleeing,FALSE,-100.831,29.369
18-02-15,shot,knife,20,F,B,Charlotte,NC,TRUE,other,Not fleeing,FALSE,-80.819,35.25
20-02-15,shot,unarmed,31,M,H,Euless,TX,FALSE,other,Not fleeing,FALSE,-97.1,32.874
20-02-15,shot,gun,38,M,B,Homewood,AL,FALSE,attack,Not fleeing,FALSE,-86.824,33.482
20-02-15,shot,gun,77,M,B,Birmingham,AL,TRUE,attack,Not fleeing,FALSE,-86.724,33.564
20-02-15,shot,gun,,M,H,Houston,TX,FALSE,attack,Car,FALSE,-95.401,29.983
21-02-15,shot,gun,41,M,W,Ruidoso,NM,FALSE,attack,Not fleeing,FALSE,-105.665,33.448
21-02-15,shot,knife,51,M,W,Indianapolis,IN,FALSE,attack,Not fleeing,FALSE,-85.992,39.793
22-02-15,shot,gun,50,M,W,Palm Bay,FL,FALSE,attack,Not fleeing,FALSE,-80.645,27.99
23-02-15,shot,gun,47,M,W,Denham Springs,LA,TRUE,attack,Not fleeing,FALSE,-90.956,30.455
23-02-15,shot,knife,37,M,W,Powder Springs,GA,FALSE,other,Not fleeing,FALSE,-84.695,33.911
23-02-15,shot,gun,41,M,W,Clarkesville,GA,FALSE,attack,Foot,FALSE,-83.598,34.631
23-02-15,shot,gun,16,M,B,Millbrook,AL,FALSE,attack,Not fleeing,FALSE,-86.362,32.53
23-02-15,shot and Tasered,knife,42,M,W,Allentown,PA,FALSE,attack,Car,FALSE,-75.433,40.632
23-02-15,shot and Tasered,unarmed,39,M,W,Omaha,NE,FALSE,other,Not fleeing,FALSE,-95.933,41.244
24-02-15,shot and Tasered,knife,30,M,W,Green Bay,WI,TRUE,attack,Not fleeing,FALSE,-88.058,44.527
25-02-15,shot,,27,M,B,Oklahoma City,OK,FALSE,other,Car,FALSE,-97.552,35.497
25-02-15,shot,gun,43,M,W,Las Vegas,NV,TRUE,attack,Not fleeing,FALSE,-115.055,36.241
26-02-15,shot,gun,42,M,H,Lakeland,FL,FALSE,attack,Foot,FALSE,-81.95,28.104
26-02-15,shot,knife,21,M,H,San Francisco,CA,FALSE,other,Not fleeing,FALSE,-122.414,37.751
26-02-15,shot,unarmed,49,M,W,Gulfport,MS,FALSE,other,Not fleeing,FALSE,-89.092,30.425
26-02-15,shot,gun,34,F,W,Sylvester,GA,FALSE,attack,Car,FALSE,-83.902,31.55
26-02-15,shot and Tasered,unarmed,31,M,W,Terre Haute,IN,FALSE,other,Not fleeing,FALSE,-87.379,39.463
27-02-15,shot,unarmed,27,M,H,Santa Ana,CA,FALSE,undetermined,Not fleeing,FALSE,-117.879,33.747
28-02-15,shot,gun,24,M,W,Pelzer,SC,FALSE,attack,Not fleeing,FALSE,-82.408,34.633
28-02-15,shot,unarmed,34,M,B,St Louis,MO,FALSE,other,Car,FALSE,-90.232,38.598
28-02-15,shot,knife,28,F,H,Tucson,AZ,FALSE,other,Not fleeing,FALSE,-110.99,32.23
28-02-15,shot,gun,28,M,B,Columbia,MO,FALSE,attack,Car,FALSE,-92.294,38.946
28-02-15,shot,gun,40,M,B,Tarboro,NC,TRUE,attack,Car,FALSE,-77.548,35.918
28-02-15,shot,gun,37,F,W,La Paz County,AZ,FALSE,attack,Car,FALSE,-114.451,33.619
28-02-15,shot and Tasered,unarmed,17,M,W,Roxand Township,MI,FALSE,attack,Not fleeing,TRUE,-84.837,42.756
01-03-15,shot,gun,35,M,A,Houston,TX,FALSE,attack,Not fleeing,FALSE,-95.622,29.704
01-03-15,shot,gun,49,M,W,Barton,MS,FALSE,attack,Not fleeing,FALSE,-88.604,30.789
01-03-15,shot and Tasered,unarmed,43,M,B,Los Angeles,CA,TRUE,attack,Not fleeing,TRUE,-118.245,34.043
02-03-15,shot,gun,20,M,B,Joilet,IL,FALSE,other,Foot,FALSE,-88.074,41.522
03-03-15,shot,gun,25,M,B,Salisbury,MD,FALSE,attack,Not fleeing,FALSE,-75.609,38.38
03-03-15,shot,knife,25,M,W,Tempe,AZ,FALSE,attack,Not fleeing,FALSE,-111.931,33.44
04-03-15,shot,unarmed,26,M,W,Deltona,FL,FALSE,other,Not fleeing,FALSE,-81.254,28.887
04-03-15,shot,gun,28,M,A,Stockton,CA,FALSE,attack,Not fleeing,FALSE,-121.286,37.948
05-03-15,shot,knife,45,M,B,Milwaukee,WI,TRUE,other,Not fleeing,FALSE,-87.904,42.968
05-03-15,shot,unarmed,36,M,H,Burbank,CA,FALSE,other,Car,FALSE,-118.345,34.151
05-03-15,shot,gun,34,M,W,Lincoln,NE,FALSE,attack,Not fleeing,FALSE,-96.682,40.875
06-03-15,shot,unarmed,19,M,B,Madison,WI,FALSE,attack,Foot,FALSE,-89.365,43.083
06-03-15,shot,unarmed,37,M,B,Aurora,CO,FALSE,undetermined,Foot,FALSE,-104.916,39.735
06-03-15,shot,,48,M,B,Putnam Hall,FL,FALSE,other,Not fleeing,FALSE,-81.959,29.743
07-03-15,shot,gun,29,M,W,Phoenix,AZ,FALSE,attack,Not fleeing,FALSE,-112.043,33.469
08-03-15,shot,knife,43,F,B,Anaheim,CA,TRUE,other,Not fleeing,TRUE,-117.94,33.819
08-03-15,shot,gun,40,M,H,Oklahoma City,OK,FALSE,attack,Not fleeing,FALSE,-97.583,35.426
08-03-15,shot,,35,M,W,Claymont,DE,FALSE,attack,Car,FALSE,-75.456,39.818
09-03-15,shot,unarmed,27,M,B,Atlanta,GA,TRUE,other,Not fleeing,FALSE,-84.267,33.88
09-03-15,shot,gun,58,M,W,Brevard,NC,FALSE,attack,Not fleeing,FALSE,-82.626,35.269
09-03-15,shot,gun,46,M,W,Dinosaur,CO,FALSE,attack,Not fleeing,FALSE,-109.01,40.246
09-03-15,shot,gun,30,M,B,Cocoa,FL,FALSE,attack,Not fleeing,FALSE,-80.749,28.351
10-03-15,shot,gun,64,M,B,Cleveland,OH,FALSE,attack,Not fleeing,TRUE,-81.641,41.45
10-03-15,shot,gun,31,M,B,Baton Rouge,LA,FALSE,attack,Not fleeing,FALSE,-91.169,30.536
10-03-15,shot,knife,23,M,W,Port Wentworth,GA,FALSE,attack,Not fleeing,TRUE,-81.184,32.165
10-03-15,shot,sword,37,M,H,Ontario,CA,TRUE,other,Car,FALSE,-117.655,34.05
11-03-15,shot,,37,M,B,Elkton,MD,FALSE,other,Not fleeing,FALSE,-75.816,39.573
11-03-15,shot,gun,31,M,W,Memphis,TN,TRUE,attack,Not fleeing,FALSE,-90,35.158
11-03-15,shot,gun,39,M,H,Santa Ana,CA,FALSE,attack,Not fleeing,FALSE,-117.868,33.743
11-03-15,shot,toy weapon,31,M,W,Kingman,AZ,TRUE,attack,Not fleeing,FALSE,-114.026,35.204
11-03-15,shot,gun,54,M,W,Bay Minette,AL,FALSE,attack,Not fleeing,FALSE,-87.891,30.862
11-03-15,shot,gun,53,M,W,Hoover,AL,TRUE,attack,Not fleeing,FALSE,-86.849,33.417
11-03-15,shot,,25,M,H,Los Angeles,CA,FALSE,other,Not fleeing,FALSE,-118.22,33.939
12-03-15,shot,unarmed,35,M,B,Washington,DC,TRUE,other,Not fleeing,FALSE,-76.983,38.882
13-03-15,shot,gun,41,M,H,Napa,CA,FALSE,other,Other,FALSE,-122.274,38.306
13-03-15,shot,gun,59,M,W,Kansas City,MO,FALSE,attack,Not fleeing,FALSE,-94.487,38.947
13-03-15,shot,knife,36,M,W,Fontana,CA,FALSE,attack,Not fleeing,FALSE,-117.43,34.078
13-03-15,shot,unarmed,32,M,H,Walnut Creek,CA,FALSE,other,Foot,FALSE,-118.229,33.971
14-03-15,shot,knife,53,M,W,Follansbee,WV,FALSE,other,Not fleeing,FALSE,-80.596,40.331
14-03-15,shot,gun,26,M,W,Kenosha,WI,FALSE,attack,Car,FALSE,-87.835,42.583
14-03-15,shot,gun,29,M,H,San Antonio,TX,TRUE,attack,Not fleeing,FALSE,-98.536,29.513
15-03-15,shot,machete,27,M,W,Ruth,MS,FALSE,other,Not fleeing,FALSE,-90.303,31.326
16-03-15,shot,gun,28,M,W,St. Paul,MN,TRUE,attack,Not fleeing,FALSE,-93.025,44.954
16-03-15,shot,gun,52,M,W,Gastonia,NC,TRUE,attack,Not fleeing,FALSE,-81.242,35.204
17-03-15,shot,gun,49,M,W,Medford,OR,TRUE,attack,Not fleeing,FALSE,-122.899,42.33
17-03-15,shot,gun,24,M,W,Dublin,NC,FALSE,attack,Foot,FALSE,-78.751,34.64
17-03-15,shot,vehicle,24,F,W,San Francisco,CA,TRUE,other,Not fleeing,FALSE,-122.422,37.789
17-03-15,shot,gun,20,M,W,Onalaska,TX,TRUE,attack,Not fleeing,FALSE,-95.104,30.815
17-03-15,shot,unarmed,22,M,H,Sacramento,CA,FALSE,undetermined,Car,FALSE,-121.504,38.682
18-03-15,shot,gun,49,F,W,Glendale,AZ,FALSE,attack,Not fleeing,FALSE,-112.203,33.582
18-03-15,shot,gun,64,M,W,Tallahassee,FL,FALSE,attack,Not fleeing,FALSE,-84.279,30.461
18-03-15,shot,knife,47,M,W,Bakersfield,CA,FALSE,other,Not fleeing,FALSE,-119.015,35.376
19-03-15,shot,box cutter,39,M,W,Lawrence County,AL,TRUE,other,Not fleeing,TRUE,-87.287,34.566
19-03-15,shot,unarmed,18,M,B,Cleveland,OH,FALSE,attack,Not fleeing,FALSE,-81.609,41.529
19-03-15,shot,gun,31,M,W,Middleton,ID,FALSE,attack,Not fleeing,TRUE,-116.58,43.704
19-03-15,shot,gun,16,M,B,Jacksonville,FL,FALSE,attack,Car,FALSE,-81.68,30.379
19-03-15,shot,unarmed,20,M,W,Sumas,WA,TRUE,attack,Not fleeing,FALSE,-122.273,49
19-03-15,shot,gun,36,M,W,Bakersfield,CA,FALSE,attack,Not fleeing,FALSE,-119.336,35.355
20-03-15,shot,machete,63,M,B,New Orleans,LA,TRUE,attack,Not fleeing,FALSE,-90.265,29.993
20-03-15,shot,gun,34,M,W,Coal County,OK,FALSE,attack,Not fleeing,FALSE,-96.323,34.506
20-03-15,shot,gun,24,M,N,Red Valley,AZ,FALSE,attack,Car,FALSE,-109.138,36.466
21-03-15,shot,gun,21,M,W,Cottonwood,AZ,FALSE,attack,Not fleeing,FALSE,-112.001,34.713
21-03-15,shot,gun,44,M,W,Clarendon,NY,FALSE,attack,Car,FALSE,-78.047,43.19
21-03-15,shot,gun,60,M,W,Harmony,IN,TRUE,attack,Not fleeing,FALSE,-87.073,39.534
21-03-15,shot,gun,42,M,W,Columbus,OH,FALSE,attack,Not fleeing,FALSE,-82.999,40.03
22-03-15,shot,knife,37,M,W,Vallejo,CA,TRUE,other,Not fleeing,FALSE,-122.222,38.133
22-03-15,shot and Tasered,knife,36,M,W,Portland,OR,TRUE,other,Foot,FALSE,-122.53,45.506
22-03-15,shot and Tasered,undetermined,21,M,B,Islip,NY,FALSE,attack,Car,FALSE,-73.238,40.74
23-03-15,shot,gun,24,M,B,Santa Clara,CA,FALSE,attack,Not fleeing,FALSE,-121.959,37.361
24-03-15,shot,gun,29,M,B,Portsmouth,VA,TRUE,attack,Car,FALSE,-76.37,36.819
24-03-15,shot,gun,57,M,W,San Jose,CA,TRUE,attack,Not fleeing,FALSE,-121.841,37.302
24-03-15,shot,gun,38,M,W,Fond du Lac,WI,FALSE,attack,Not fleeing,FALSE,-88.475,43.782
25-03-15,shot,undetermined,23,M,B,Smyrna,GA,FALSE,other,Car,TRUE,-84.477,33.866
25-03-15,shot,gun,27,M,B,Johnsonville,SC,FALSE,attack,Foot,FALSE,-79.462,33.819
25-03-15,shot,gun,28,M,H,South Los Angeles,CA,FALSE,attack,Foot,FALSE,-118.292,33.94
25-03-15,shot and Tasered,gun,63,M,W,Glendale,AZ,TRUE,other,Not fleeing,FALSE,-112.203,33.638
26-03-15,shot,gun,53,F,W,Gardner,KS,FALSE,attack,Not fleeing,FALSE,-94.91,38.818
26-03-15,shot,knife,35,M,H,Wilmington,CA,TRUE,other,Not fleeing,FALSE,-118.271,33.793
27-03-15,shot,knife,26,F,B,Oxnard,CA,FALSE,other,Not fleeing,FALSE,-119.183,34.228
27-03-15,shot,gun,42,M,W,Fort Ashby,WV,FALSE,attack,Car,FALSE,-78.841,39.469
27-03-15,shot,gun,41,M,B,Boston,MA,FALSE,attack,Not fleeing,FALSE,-71.089,42.313
27-03-15,shot,gun,56,M,W,Encinitas,CA,TRUE,attack,Not fleeing,FALSE,-117.242,33.05
27-03-15,shot,knife,39,M,B,Fort Pierce,FL,FALSE,other,Not fleeing,FALSE,-80.328,27.435
27-03-15,shot,toy weapon,23,M,H,Bakersfield,CA,FALSE,attack,Car,FALSE,-119.003,35.396
27-03-15,shot,gun,40,M,W,Webster,MA,FALSE,attack,Foot,FALSE,-71.878,42.056
29-03-15,shot,gun,29,M,B,Elizabethtown,KY,FALSE,attack,Not fleeing,FALSE,-85.889,37.735
29-03-15,shot,,26,M,W,Jasper,OH,FALSE,attack,Car,FALSE,-83.255,39.083
30-03-15,shot,gun,54,M,,Boulder City,NV,FALSE,attack,Not fleeing,FALSE,-114.84,35.974
30-03-15,shot,gun,49,M,W,Eugene,OR,TRUE,attack,Not fleeing,FALSE,-123.181,44.091
31-03-15,shot,gun,36,M,W,Carollwood,FL,FALSE,attack,Not fleeing,FALSE,-82.49,28.102
31-03-15,shot,toy weapon,21,M,H,Baytown,TX,FALSE,attack,Not fleeing,FALSE,-94.971,29.733
31-03-15,shot,vehicle,27,F,B,Fort Meade,MD,FALSE,other,Car,FALSE,-76.77,39.115
01-04-15,shot,gun,37,M,B,Hawthorne,CA,FALSE,attack,Not fleeing,FALSE,-118.337,33.902
01-04-15,shot,knife,36,M,W,Hamilton,NJ,FALSE,attack,Not fleeing,FALSE,-74.71,40.217
02-04-15,shot,gun,32,M,B,Rock Island,IL,FALSE,attack,Foot,FALSE,-90.582,41.5
02-04-15,shot,unarmed,44,M,B,Tulsa,OK,FALSE,other,Not fleeing,FALSE,-95.94,36.184
02-04-15,shot,gun,27,M,W,Pineville,LA,TRUE,attack,Not fleeing,FALSE,-92.407,31.346
