Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
6,2.9,4.5,1.5,Carnation
6.7,2.5,5.8,1.8,Lily
5.8,4,1.2,0.2,Rose
5.4,3.9,1.7,0.4,Rose
5.7,2.8,4.5,1.3,Carnation
5.1,3.8,1.6,0.2,Rose
5,3.3,1.4,0.2,Rose
5,3.4,1.5,0.2,Rose
5.7,2.5,5,2,Lily
6.5,3,5.8,2.2,Lily
6.8,3.2,5.9,2.3,Lily
6.7,3.1,4.4,1.4,Carnation
7.2,3,5.8,1.6,Lily
5.5,2.6,4.4,1.2,Carnation
5.5,2.5,4,1.3,Carnation
5.6,3,4.5,1.5,Carnation
5.1,3.8,1.5,0.3,Rose
5.9,3,4.2,1.5,Carnation
6.8,3,5.5,2.1,Lily
5.1,3.8,1.6,0.2,Rose
4.8,3,1.4,0.3,Rose
5.6,2.8,4.9,2,Lily
6.4,2.8,5.6,2.2,Lily
6.7,3.3,5.7,2.5,Lily
6.1,2.6,5.6,1.4,Lily
4.6,3.2,1.4,0.2,Rose
6.4,3.2,4.5,1.5,Carnation
5.1,3.4,1.5,0.2,Rose
5.7,2.8,4.5,1.3,Carnation
6.4,2.8,5.6,2.1,Lily
5,3,1.6,0.2,Rose
6.2,2.9,4.3,1.3,Carnation
4.4,3.2,1.3,0.2,Rose
7.1,3,5.9,2.1,Lily
4.6,3.2,1.4,0.2,Rose
5.2,3.5,1.5,0.2,Rose
6.5,3,5.8,2.2,Lily
5,3.4,1.5,0.2,Rose
5.4,3.9,1.7,0.4,Rose
6.6,2.9,4.6,1.3,Carnation
5.5,2.5,4,1.3,Carnation
5.7,2.8,4.5,1.3,Carnation
6.4,3.2,5.3,2.3,Lily
6.7,3.3,5.7,2.5,Lily
5.5,2.4,3.7,1,Carnation
6.1,3,4.9,1.8,Lily
7.1,3,5.9,2.1,Lily
4.9,3.1,1.5,0.2,Rose
7.7,3,6.1,2.3,Lily
5.9,3.2,4.8,1.8,Carnation
6.3,3.3,4.7,1.6,Carnation
6.2,2.9,4.3,1.3,Carnation
7.9,3.8,6.4,2,Lily
7.7,2.8,6.7,2,Lily
6.5,3,5.5,1.8,Lily
5.4,3.4,1.7,0.2,Rose
6.3,3.3,6,2.5,Lily
6.5,3,5.2,2,Lily
6.7,3.3,5.7,2.5,Lily
5.6,2.5,3.9,1.1,Carnation
7,3.2,4.7,1.4,Carnation
5.4,3.9,1.3,0.4,Rose
5.8,2.7,5.1,1.9,Lily
5.8,2.7,5.1,1.9,Lily
6.4,3.1,5.5,1.8,Lily
6.9,3.1,5.4,2.1,Lily
4.8,3,1.4,0.3,Rose
5.5,2.4,3.8,1.1,Carnation
6.9,3.1,5.1,2.3,Lily
6.3,3.3,6,2.5,Lily
5.7,3,4.2,1.2,Carnation
5.8,2.7,3.9,1.2,Carnation
5.1,3.8,1.5,0.3,Rose
4.8,3.4,1.6,0.2,Rose
5,3.6,1.4,0.2,Rose
6.4,2.7,5.3,1.9,Lily
6.3,2.9,5.6,1.8,Lily
7.1,3,5.9,2.1,Lily
6.3,3.3,6,2.5,Lily
5.4,3.4,1.5,0.4,Rose
5.7,2.5,5,2,Lily
4.9,3.6,1.4,0.1,Rose
6.2,3.4,5.4,2.3,Lily
6.2,2.2,4.5,1.5,Carnation
6,2.2,4,1,Carnation
4.8,3.4,1.6,0.2,Rose
6.7,3,5.2,2.3,Lily
6.1,2.8,4.7,1.2,Carnation
6.4,3.2,4.5,1.5,Carnation
5.7,2.8,4.5,1.3,Carnation
6.1,3,4.9,1.8,Lily
5.5,4.2,1.4,0.2,Rose
5.6,2.7,4.2,1.3,Carnation
5,3.2,1.2,0.2,Rose
5.9,3,4.2,1.5,Carnation
5.8,2.7,5.1,1.9,Lily
5.6,2.8,4.9,2,Lily
6.3,3.3,4.7,1.6,Carnation
4.8,3.4,1.6,0.2,Rose
6.2,3.4,5.4,2.3,Lily
6.3,3.3,6,2.5,Lily
5.5,2.4,3.8,1.1,Carnation
5.5,2.6,4.4,1.2,Carnation
6.3,2.5,4.9,1.5,Carnation
6.3,2.9,5.6,1.8,Lily
4.7,3.2,1.6,0.2,Rose
4.5,2.3,1.3,0.3,Rose
7.3,2.9,6.3,1.8,Lily
4.9,3.1,1.5,0.1,Rose
5.2,3.5,1.5,0.2,Rose
5,3.5,1.6,0.6,Rose
5.8,2.7,5.1,1.9,Lily
7.1,3,5.9,2.1,Lily
4.4,3.2,1.3,0.2,Rose
4.6,3.1,1.5,0.2,Rose
4.7,3.2,1.6,0.2,Rose
5.5,2.6,4.4,1.2,Carnation
5.7,4.4,1.5,0.4,Rose
6.1,3,4.6,1.4,Carnation
6.5,2.8,4.6,1.5,Carnation
5.6,2.5,3.9,1.1,Carnation
6.9,3.2,5.7,2.3,Lily
6.5,3,5.8,2.2,Lily
7,3.2,4.7,1.4,Carnation
6.3,2.8,5.1,1.5,Lily
6.1,2.8,4,1.3,Carnation
5.7,2.9,4.2,1.3,Carnation
6,2.2,4,1,Carnation
6.2,2.8,4.8,1.8,Lily
4.8,3,1.4,0.1,Rose
5.7,2.9,4.2,1.3,Carnation
5.6,2.5,3.9,1.1,Carnation
5.7,2.6,3.5,1,Carnation
5.6,3,4.1,1.3,Carnation
5.7,4.4,1.5,0.4,Rose
5.6,3,4.5,1.5,Carnation
5.8,4,1.2,0.2,Rose
6.3,2.3,4.4,1.3,Carnation
5.1,3.4,1.5,0.2,Rose
6.8,3,5.5,2.1,Lily
4.8,3.1,1.6,0.2,Rose
6.1,3,4.9,1.8,Lily
4.9,3.1,1.5,0.2,Rose
5,3.3,1.4,0.2,Rose
4.4,3.2,1.3,0.2,Rose
5.6,3,4.1,1.3,Carnation
6.2,2.9,4.3,1.3,Carnation
5.1,3.8,1.5,0.3,Rose
5,3.6,1.4,0.2,Rose
7.7,3.8,6.7,2.2,Lily
5.1,3.4,1.5,0.2,Rose
5,3,1.6,0.2,Rose
6.6,2.9,4.6,1.3,Carnation
6.7,3,5,1.7,Carnation
5.4,3.7,1.5,0.2,Rose
7.2,3,5.8,1.6,Lily
6.2,2.2,4.5,1.5,Carnation
6.2,2.9,4.3,1.3,Carnation
5.5,2.4,3.7,1,Carnation
5.1,3.4,1.5,0.2,Rose
6.2,2.8,4.8,1.8,Lily
5.6,2.8,4.9,2,Lily
5.4,3.4,1.7,0.2,Rose
5.8,2.7,5.1,1.9,Lily
5.1,3.5,1.4,0.2,Rose
4.4,2.9,1.4,0.2,Rose
4.6,3.4,1.4,0.3,Rose
6,2.2,4,1,Carnation
6.1,2.6,5.6,1.4,Lily
5.7,2.9,4.2,1.3,Carnation
5.2,2.7,3.9,1.4,Carnation
5,3.4,1.6,0.4,Rose
4.6,3.1,1.5,0.2,Rose
4.5,2.3,1.3,0.3,Rose
6.5,3.2,5.1,2,Lily
5.1,3.5,1.4,0.3,Rose
6.5,3,5.5,1.8,Lily
5.1,3.5,1.4,0.2,Rose
4.4,3.2,1.3,0.2,Rose
5.5,2.4,3.7,1,Carnation
5.7,2.5,5,2,Lily
6.1,2.8,4.7,1.2,Carnation
6.2,2.9,4.3,1.3,Carnation
7.3,2.9,6.3,1.8,Lily
4.9,3,1.4,0.2,Rose
6.8,2.8,4.8,1.4,Carnation
4.8,3,1.4,0.3,Rose
4.6,3.2,1.4,0.2,Rose
7.7,2.8,6.7,2,Lily
7.7,2.6,6.9,2.3,Lily
5.8,2.8,5.1,2.4,Lily
6.2,3.4,5.4,2.3,Lily
4.9,3.1,1.5,0.1,Rose
6.7,3,5,1.7,Carnation
5.5,4.2,1.4,0.2,Rose
5.4,3.4,1.5,0.4,Rose
6.7,3.3,5.7,2.5,Lily
6,2.9,4.5,1.5,Carnation
6.8,3,5.5,2.1,Lily
5.5,4.2,1.4,0.2,Rose
5.2,4.1,1.5,0.1,Rose
5.1,3.5,1.4,0.3,Rose
5.7,2.9,4.2,1.3,Carnation
5.4,3.4,1.7,0.2,Rose
5.7,2.5,5,2,Lily
5,3.2,1.2,0.2,Rose
6.4,2.9,4.3,1.3,Carnation
6.5,3,5.8,2.2,Lily
4.6,3.2,1.4,0.2,Rose
6.3,2.7,4.9,1.8,Lily
4.9,3.1,1.5,0.1,Rose
5.4,3.7,1.5,0.2,Rose
5.4,3,4.5,1.5,Carnation
6.3,2.8,5.1,1.5,Lily
4.6,3.2,1.4,0.2,Rose
4.8,3,1.4,0.3,Rose
6.7,3.3,5.7,2.1,Lily
5.4,3,4.5,1.5,Carnation
4.9,3.6,1.4,0.1,Rose
6.1,2.8,4.7,1.2,Carnation
5.4,3.9,1.7,0.4,Rose
6.3,2.9,5.6,1.8,Lily
5,3.4,1.6,0.4,Rose
5.1,3.4,1.5,0.2,Rose
6.3,3.3,6,2.5,Lily
5.1,3.5,1.4,0.2,Rose
6.4,3.1,5.5,1.8,Lily
4.6,3.1,1.5,0.2,Rose
6.3,2.8,5.1,1.5,Lily
5.8,2.7,5.1,1.9,Lily
5,2.3,3.3,1,Carnation
6.2,3.4,5.4,2.3,Lily
6.1,2.8,4,1.3,Carnation
5.5,4.2,1.4,0.2,Rose
5.1,2.5,3,1.1,Carnation
5.6,2.7,4.2,1.3,Carnation
6.9,3.2,5.7,2.3,Lily
6.7,3.3,5.7,2.1,Lily
7.7,3.8,6.7,2.2,Lily
6.5,3,5.5,1.8,Lily
5.1,3.4,1.5,0.2,Rose
5.6,3,4.1,1.3,Carnation
6,2.2,5,1.5,Lily
6.1,2.6,5.6,1.4,Lily
5.2,2.7,3.9,1.4,Carnation
5.9,3,5.1,1.8,Lily
5.5,2.5,4,1.3,Carnation
6.4,2.8,5.6,2.1,Lily
6.5,3,5.5,1.8,Lily
5.4,3,4.5,1.5,Carnation
6.8,2.8,4.8,1.4,Carnation
6,2.7,5.1,1.6,Carnation
5.7,2.9,4.2,1.3,Carnation
7,3.2,4.7,1.4,Carnation
6.3,2.3,4.4,1.3,Carnation
4.6,3.4,1.4,0.3,Rose
6,3,4.8,1.8,Lily
7.7,3.8,6.7,2.2,Lily
5.7,2.8,4.5,1.3,Carnation
4.9,2.4,3.3,1,Carnation
6.3,3.3,6,2.5,Lily
7.2,3,5.8,1.6,Lily
6.7,3.1,4.7,1.5,Carnation
7,3.2,4.7,1.4,Carnation
5.6,3,4.5,1.5,Carnation
4.8,3,1.4,0.3,Rose
