,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
34,15-01-15,shot,gun,24.0,M,W,Bloomington,MN,True,attack,Not fleeing,False,-93.35799999999999,44.825
35,15-01-15,shot,knife,36.0,M,H,Fairfield,CA,True,other,Not fleeing,False,-121.99700000000001,38.266
36,15-01-15,shot,gun,33.0,M,W,Evangeline Parish,LA,False,attack,Not fleeing,False,-92.441,30.748
37,16-01-15,shot,gun,41.0,M,W,Mabank,TX,False,attack,Car,False,-96.069,32.407
38,16-01-15,shot and Tasered,knife,48.0,M,O,Fremont,CA,False,other,Not fleeing,False,-122.06,37.588
39,17-01-15,shot,gun,21.0,M,B,Muskogee,OK,False,attack,Foot,True,-95.39399999999999,35.766
40,17-01-15,shot,gun,24.0,M,H,Los Angeles,CA,False,attack,Not fleeing,False,-118.23299999999999,34.038000000000004
41,17-01-15,shot,knife,27.0,M,H,Fort Worth,TX,False,attack,Not fleeing,False,-97.334,32.811
42,18-01-15,shot,gun,32.0,M,W,Maricopa,AZ,True,attack,Not fleeing,False,-112.042,33.085
43,18-01-15,shot and Tasered,gun,67.0,M,W,Gunlock,KY,True,attack,Not fleeing,False,-82.921,37.565
44,19-01-15,shot,knife,49.0,M,W,Weymouth,MA,False,attack,Not fleeing,False,-70.932,42.257
45,20-01-15,shot,,42.0,M,B,Scottsdale,AZ,False,other,Car,False,-111.90899999999999,33.509
46,21-01-15,shot,gun,36.0,M,W,Hemet,CA,False,attack,Not fleeing,False,-116.958,33.742
47,21-01-15,shot,gun,36.0,M,H,Chapeno,TX,False,attack,Foot,False,-99.12299999999999,26.559
48,21-01-15,shot,gun,19.0,M,B,St. Louis,MO,False,attack,Not fleeing,False,-90.25,38.665
49,21-01-15,shot,gun,54.0,M,W,Derry,NH,True,attack,Not fleeing,False,-71.337,42.908
50,22-01-15,shot,toy weapon,25.0,M,B,Sierra Blanca,TX,False,attack,Car,False,-105.02799999999999,31.08
51,22-01-15,shot and Tasered,knife,17.0,F,W,Longview,TX,True,other,Not fleeing,False,-94.74600000000001,32.495
52,23-01-15,shot,,29.0,M,B,Fort Lauderdale,FL,False,other,Not fleeing,False,-80.212,26.15
53,23-01-15,shot,knife,56.0,M,H,Levelland,TX,False,other,Not fleeing,False,-102.369,33.578
54,23-01-15,shot,gun,61.0,M,W,Austin,TX,True,attack,Not fleeing,False,-97.789,30.166999999999998
55,24-01-15,shot,gun,45.0,M,W,Rexburg,ID,False,attack,Not fleeing,False,-111.78,43.826
56,24-01-15,shot,knife,26.0,M,B,Baltimore,MD,True,other,Not fleeing,False,-76.648,39.284
57,24-01-15,shot,gun,40.0,M,W,Fort Worth,TX,False,attack,Not fleeing,False,-97.38,32.678000000000004
58,25-01-15,shot,gun,26.0,M,H,Pueblo,CO,False,attack,Car,False,-104.574,38.285
59,25-01-15,shot,gun,59.0,M,,Winslow,NJ,False,attack,Not fleeing,False,-74.929,39.749
60,26-01-15,shot,vehicle,17.0,F,H,Denver,CO,False,other,Not fleeing,False,-104.90899999999999,39.754
61,26-01-15,shot,gun,68.0,M,W,New Hope,MN,True,attack,Not fleeing,False,-93.38600000000001,45.036
62,26-01-15,shot,unarmed,24.0,M,H,Tahoka,TX,False,other,Car,False,-101.666,33.166
63,26-01-15,shot,knife,34.0,M,H,Wasco,CA,True,other,Not fleeing,False,-119.335,35.589
64,27-01-15,shot,knife,39.0,F,W,Omaha,NE,True,attack,Not fleeing,False,-95.99,41.243
65,27-01-15,shot,,26.0,M,N,Phoenix,AZ,False,other,Not fleeing,False,-112.113,33.495
66,27-01-15,shot,gun,29.0,M,W,Morenci,AZ,False,attack,Not fleeing,False,-109.32600000000001,33.054
67,27-01-15,shot,gun,33.0,M,B,Columbus,OH,False,attack,Not fleeing,False,-82.99700000000001,39.879
68,28-01-15,shot,gun,45.0,M,W,Sunset,TX,False,attack,Not fleeing,False,-97.82799999999999,33.47
69,28-01-15,shot,gun,26.0,M,W,Rosenberg,TX,False,attack,Not fleeing,False,-95.78399999999999,29.558000000000003
70,28-01-15,shot and Tasered,hammer,35.0,M,A,Stockton,CA,True,attack,Not fleeing,False,-121.316,38.029
71,29-01-15,shot,gun,31.0,M,W,Wyoming,MI,True,attack,Not fleeing,False,-85.66,42.894
72,29-01-15,shot,unarmed,42.0,M,W,Stillwater,OK,False,other,Foot,False,-97.05,36.121
73,30-01-15,shot,gun,48.0,M,W,Billings,MT,False,attack,Foot,False,-108.51299999999999,45.79
74,31-01-15,shot,gun,31.0,M,H,Houston,TX,False,attack,Not fleeing,False,-95.72,29.861
75,31-01-15,shot and Tasered,knife,54.0,M,B,Randallstown,MD,True,other,Not fleeing,False,-76.821,39.38
76,02-02-15,shot,unarmed,59.0,M,W,Hummelstown,PA,False,other,Foot,False,-76.71300000000001,40.273
77,02-02-15,shot,gun,42.0,M,W,Apple Valley,CA,True,attack,Not fleeing,False,-117.177,34.417
78,02-02-15,shot,gun,17.0,M,W,Bay City,MI,False,attack,Not fleeing,False,-83.87299999999999,43.599
79,03-02-15,shot,gun,23.0,M,B,St. Louis,MO,False,attack,Foot,False,-90.21,38.75
80,03-02-15,shot,gun,38.0,F,B,Emeryville,CA,False,attack,Car,False,-122.28399999999999,37.827
81,03-02-15,shot,knife,29.0,M,B,Antioch,CA,True,other,Not fleeing,False,-121.818,37.999
82,03-02-15,shot,gun,45.0,M,W,Douglas,GA,True,attack,Not fleeing,False,-82.845,31.523000000000003
83,04-02-15,shot,unarmed,28.0,M,B,Tallahassee,FL,False,attack,Not fleeing,False,-84.33,30.465999999999998
84,04-02-15,shot,gun,37.0,M,H,Orlando,FL,False,attack,Not fleeing,False,-81.306,28.5
85,04-02-15,shot,gun,28.0,M,H,Tempe,AZ,False,attack,Car,False,-111.978,33.378
86,04-02-15,shot,unarmed,28.0,M,H,Tempe,AZ,False,other,Not fleeing,False,-111.978,33.378
87,04-02-15,shot,gun,51.0,M,B,Lorena,TX,False,attack,Car,False,-97.208,31.397
88,04-02-15,shot,knife,36.0,M,B,Memphis,TN,False,other,Not fleeing,False,-89.932,35.164
89,05-02-15,shot,gun,59.0,M,W,Chino,CA,False,other,Car,False,-117.65,33.953
90,06-02-15,shot,gun,25.0,M,B,Oklahoma City,OK,False,attack,Not fleeing,False,-97.515,35.404
91,07-02-15,shot,toy weapon,26.0,M,W,Calimesa,CA,False,attack,Not fleeing,False,-117.057,33.994
92,07-02-15,shot,gun,74.0,M,B,Gastonia,NC,False,attack,Not fleeing,False,-81.227,35.266
93,08-02-15,shot,gun,33.0,M,W,Anchorage,AK,False,attack,Car,False,-149.859,61.208
94,08-02-15,shot,gun,27.0,M,W,Austin,TX,False,attack,Not fleeing,False,-97.891,30.244
95,08-02-15,shot,gun,57.0,M,W,New City,NY,True,attack,Not fleeing,False,-74.001,41.152
96,08-02-15,shot,gun,46.0,M,W,Orange County,FL,False,attack,Not fleeing,False,-81.329,28.482
97,08-02-15,shot,gun,41.0,M,W,Nocona,TX,False,attack,Not fleeing,False,-97.712,33.787
98,09-02-15,shot,gun,61.0,M,W,Smyrna,ME,True,undetermined,Not fleeing,False,-68.104,46.159
99,09-02-15,shot,gun,45.0,M,B,Dallas,TX,False,attack,Not fleeing,False,-96.751,32.655
100,10-02-15,shot,gun,49.0,M,B,Whitehaven,TN,False,attack,Not fleeing,False,-90.054,35.025
101,10-02-15,shot,gun,45.0,M,W,New Castle,CO,True,attack,Car,False,-107.454,39.573
102,10-02-15,shot and Tasered,unarmed,35.0,M,H,Pasco,WA,True,other,Foot,False,-119.101,46.228
103,11-02-15,shot,knife,23.0,M,B,San Jose,CA,True,other,Not fleeing,False,-121.876,37.316
104,11-02-15,shot,toy weapon,46.0,M,W,Dadeville,AL,True,attack,Foot,True,-85.72399999999999,32.864000000000004
105,13-02-15,shot,,23.0,M,W,San Bernardino,CA,False,attack,Car,False,-117.333,34.165
106,13-02-15,shot,gun,21.0,M,H,Kansas City,KS,False,attack,Car,False,-94.64,39.071
107,13-02-15,shot,unarmed,35.0,M,H,Reading,PA,False,other,Not fleeing,False,-75.908,40.329
108,13-02-15,shot,gun,27.0,M,W,McLemoresville,TN,False,attack,Not fleeing,False,-88.572,35.95
109,13-02-15,shot,knife,37.0,M,H,San Manuel,AZ,True,other,Not fleeing,False,-110.62799999999999,32.614000000000004
110,14-02-15,shot,gun,16.0,M,W,Essex,MD,True,attack,Car,False,-76.44,39.299
111,14-02-15,shot,gun,51.0,M,W,Laredo,TX,False,attack,Not fleeing,False,-99.47399999999999,27.554000000000002
112,15-02-15,shot,gun,34.0,M,W,Iuka,MS,False,attack,Foot,False,-88.205,34.804
113,15-02-15,shot,hatchet,34.0,M,W,Colton,OR,True,other,Not fleeing,False,-122.43700000000001,45.175
114,15-02-15,shot and Tasered,unarmed,25.0,M,B,Miami Gardens,FL,True,other,Not fleeing,False,-80.208,25.951
115,16-02-15,shot,gun,56.0,M,W,Marana,AZ,False,attack,Not fleeing,False,-111.09,32.359
116,16-02-15,shot,gun,26.0,M,W,Boise,ID,False,attack,Not fleeing,False,-116.22200000000001,43.57899999999999
117,16-02-15,shot,toy weapon,24.0,M,W,Provo,UT,True,attack,Not fleeing,False,-111.624,40.103
118,17-02-15,shot,gun,43.0,F,W,Gaston County,NC,False,attack,Not fleeing,False,-81.169,35.229
119,17-02-15,shot,unarmed,31.0,M,W,Springfield,MO,False,other,Foot,False,-93.319,37.225
120,17-02-15,shot,gun,32.0,M,W,Eaton Rapids Township,MI,False,attack,Not fleeing,False,-84.70100000000001,42.513999999999996
121,17-02-15,shot,toy weapon,30.0,M,W,Tewksbury,MA,False,attack,Foot,False,-71.28399999999999,42.614
122,17-02-15,shot,,50.0,M,H,Del Rio,TX,False,other,Not fleeing,False,-100.831,29.369
123,18-02-15,shot,knife,20.0,F,B,Charlotte,NC,True,other,Not fleeing,False,-80.819,35.25
124,20-02-15,shot,unarmed,31.0,M,H,Euless,TX,False,other,Not fleeing,False,-97.1,32.874
125,20-02-15,shot,gun,38.0,M,B,Homewood,AL,False,attack,Not fleeing,False,-86.824,33.482
126,20-02-15,shot,gun,77.0,M,B,Birmingham,AL,True,attack,Not fleeing,False,-86.72399999999999,33.564
127,20-02-15,shot,gun,,M,H,Houston,TX,False,attack,Car,False,-95.40100000000001,29.983
128,21-02-15,shot,gun,41.0,M,W,Ruidoso,NM,False,attack,Not fleeing,False,-105.665,33.448
129,21-02-15,shot,knife,51.0,M,W,Indianapolis,IN,False,attack,Not fleeing,False,-85.992,39.793
130,22-02-15,shot,gun,50.0,M,W,Palm Bay,FL,False,attack,Not fleeing,False,-80.645,27.99
131,23-02-15,shot,gun,47.0,M,W,Denham Springs,LA,True,attack,Not fleeing,False,-90.956,30.455
132,23-02-15,shot,knife,37.0,M,W,Powder Springs,GA,False,other,Not fleeing,False,-84.695,33.911
133,23-02-15,shot,gun,41.0,M,W,Clarkesville,GA,False,attack,Foot,False,-83.598,34.631
134,23-02-15,shot,gun,16.0,M,B,Millbrook,AL,False,attack,Not fleeing,False,-86.36200000000001,32.53
135,23-02-15,shot and Tasered,knife,42.0,M,W,Allentown,PA,False,attack,Car,False,-75.433,40.632
136,23-02-15,shot and Tasered,unarmed,39.0,M,W,Omaha,NE,False,other,Not fleeing,False,-95.93299999999999,41.244
137,24-02-15,shot and Tasered,knife,30.0,M,W,Green Bay,WI,True,attack,Not fleeing,False,-88.05799999999999,44.527
138,25-02-15,shot,,27.0,M,B,Oklahoma City,OK,False,other,Car,False,-97.552,35.497
139,25-02-15,shot,gun,43.0,M,W,Las Vegas,NV,True,attack,Not fleeing,False,-115.055,36.241
140,26-02-15,shot,gun,42.0,M,H,Lakeland,FL,False,attack,Foot,False,-81.95,28.104
141,26-02-15,shot,knife,21.0,M,H,San Francisco,CA,False,other,Not fleeing,False,-122.414,37.751
142,26-02-15,shot,unarmed,49.0,M,W,Gulfport,MS,False,other,Not fleeing,False,-89.09200000000001,30.425
143,26-02-15,shot,gun,34.0,F,W,Sylvester,GA,False,attack,Car,False,-83.902,31.55
144,26-02-15,shot and Tasered,unarmed,31.0,M,W,Terre Haute,IN,False,other,Not fleeing,False,-87.37899999999999,39.463
145,27-02-15,shot,unarmed,27.0,M,H,Santa Ana,CA,False,undetermined,Not fleeing,False,-117.87899999999999,33.747
146,28-02-15,shot,gun,24.0,M,W,Pelzer,SC,False,attack,Not fleeing,False,-82.40799999999999,34.633
147,28-02-15,shot,unarmed,34.0,M,B,St Louis,MO,False,other,Car,False,-90.23200000000001,38.598
148,28-02-15,shot,knife,28.0,F,H,Tucson,AZ,False,other,Not fleeing,False,-110.99,32.23
149,28-02-15,shot,gun,28.0,M,B,Columbia,MO,False,attack,Car,False,-92.294,38.946
150,28-02-15,shot,gun,40.0,M,B,Tarboro,NC,True,attack,Car,False,-77.548,35.918
151,28-02-15,shot,gun,37.0,F,W,La Paz County,AZ,False,attack,Car,False,-114.45100000000001,33.619
152,28-02-15,shot and Tasered,unarmed,17.0,M,W,Roxand Township,MI,False,attack,Not fleeing,True,-84.837,42.756
153,01-03-15,shot,gun,35.0,M,A,Houston,TX,False,attack,Not fleeing,False,-95.62200000000001,29.704
154,01-03-15,shot,gun,49.0,M,W,Barton,MS,False,attack,Not fleeing,False,-88.604,30.789
155,01-03-15,shot and Tasered,unarmed,43.0,M,B,Los Angeles,CA,True,attack,Not fleeing,True,-118.245,34.043
156,02-03-15,shot,gun,20.0,M,B,Joilet,IL,False,other,Foot,False,-88.074,41.522
157,03-03-15,shot,gun,25.0,M,B,Salisbury,MD,False,attack,Not fleeing,False,-75.609,38.38
158,03-03-15,shot,knife,25.0,M,W,Tempe,AZ,False,attack,Not fleeing,False,-111.931,33.44
159,04-03-15,shot,unarmed,26.0,M,W,Deltona,FL,False,other,Not fleeing,False,-81.25399999999999,28.886999999999997
160,04-03-15,shot,gun,28.0,M,A,Stockton,CA,False,attack,Not fleeing,False,-121.286,37.948
161,05-03-15,shot,knife,45.0,M,B,Milwaukee,WI,True,other,Not fleeing,False,-87.904,42.968
162,05-03-15,shot,unarmed,36.0,M,H,Burbank,CA,False,other,Car,False,-118.345,34.150999999999996
163,05-03-15,shot,gun,34.0,M,W,Lincoln,NE,False,attack,Not fleeing,False,-96.682,40.875
164,06-03-15,shot,unarmed,19.0,M,B,Madison,WI,False,attack,Foot,False,-89.365,43.083
165,06-03-15,shot,unarmed,37.0,M,B,Aurora,CO,False,undetermined,Foot,False,-104.916,39.735
166,06-03-15,shot,,48.0,M,B,Putnam Hall,FL,False,other,Not fleeing,False,-81.959,29.743000000000002
167,07-03-15,shot,gun,29.0,M,W,Phoenix,AZ,False,attack,Not fleeing,False,-112.04299999999999,33.469
168,08-03-15,shot,knife,43.0,F,B,Anaheim,CA,True,other,Not fleeing,True,-117.94,33.819
169,08-03-15,shot,gun,40.0,M,H,Oklahoma City,OK,False,attack,Not fleeing,False,-97.583,35.426
170,08-03-15,shot,,35.0,M,W,Claymont,DE,False,attack,Car,False,-75.456,39.818000000000005
171,09-03-15,shot,unarmed,27.0,M,B,Atlanta,GA,True,other,Not fleeing,False,-84.26700000000001,33.88
172,09-03-15,shot,gun,58.0,M,W,Brevard,NC,False,attack,Not fleeing,False,-82.626,35.269
173,09-03-15,shot,gun,46.0,M,W,Dinosaur,CO,False,attack,Not fleeing,False,-109.01,40.246
174,09-03-15,shot,gun,30.0,M,B,Cocoa,FL,False,attack,Not fleeing,False,-80.749,28.351
175,10-03-15,shot,gun,64.0,M,B,Cleveland,OH,False,attack,Not fleeing,True,-81.641,41.45
176,10-03-15,shot,gun,31.0,M,B,Baton Rouge,LA,False,attack,Not fleeing,False,-91.169,30.535999999999998
177,10-03-15,shot,knife,23.0,M,W,Port Wentworth,GA,False,attack,Not fleeing,True,-81.184,32.165
178,10-03-15,shot,sword,37.0,M,H,Ontario,CA,True,other,Car,False,-117.655,34.05
179,11-03-15,shot,,37.0,M,B,Elkton,MD,False,other,Not fleeing,False,-75.816,39.573
180,11-03-15,shot,gun,31.0,M,W,Memphis,TN,True,attack,Not fleeing,False,-90.0,35.158
181,11-03-15,shot,gun,39.0,M,H,Santa Ana,CA,False,attack,Not fleeing,False,-117.868,33.743
182,11-03-15,shot,toy weapon,31.0,M,W,Kingman,AZ,True,attack,Not fleeing,False,-114.02600000000001,35.204
183,11-03-15,shot,gun,54.0,M,W,Bay Minette,AL,False,attack,Not fleeing,False,-87.891,30.862
184,11-03-15,shot,gun,53.0,M,W,Hoover,AL,True,attack,Not fleeing,False,-86.84899999999999,33.417
185,11-03-15,shot,,25.0,M,H,Los Angeles,CA,False,other,Not fleeing,False,-118.22,33.939
186,12-03-15,shot,unarmed,35.0,M,B,Washington,DC,True,other,Not fleeing,False,-76.983,38.882
187,13-03-15,shot,gun,41.0,M,H,Napa,CA,False,other,Other,False,-122.274,38.306
188,13-03-15,shot,gun,59.0,M,W,Kansas City,MO,False,attack,Not fleeing,False,-94.48700000000001,38.946999999999996
189,13-03-15,shot,knife,36.0,M,W,Fontana,CA,False,attack,Not fleeing,False,-117.43,34.078
190,13-03-15,shot,unarmed,32.0,M,H,Walnut Creek,CA,False,other,Foot,False,-118.229,33.971
191,14-03-15,shot,knife,53.0,M,W,Follansbee,WV,False,other,Not fleeing,False,-80.596,40.330999999999996
192,14-03-15,shot,gun,26.0,M,W,Kenosha,WI,False,attack,Car,False,-87.835,42.583
193,14-03-15,shot,gun,29.0,M,H,San Antonio,TX,True,attack,Not fleeing,False,-98.536,29.513
194,15-03-15,shot,machete,27.0,M,W,Ruth,MS,False,other,Not fleeing,False,-90.303,31.326
195,16-03-15,shot,gun,28.0,M,W,St. Paul,MN,True,attack,Not fleeing,False,-93.025,44.95399999999999
196,16-03-15,shot,gun,52.0,M,W,Gastonia,NC,True,attack,Not fleeing,False,-81.242,35.204
197,17-03-15,shot,gun,49.0,M,W,Medford,OR,True,attack,Not fleeing,False,-122.899,42.33
198,17-03-15,shot,gun,24.0,M,W,Dublin,NC,False,attack,Foot,False,-78.751,34.64
199,17-03-15,shot,vehicle,24.0,F,W,San Francisco,CA,True,other,Not fleeing,False,-122.42200000000001,37.789
200,17-03-15,shot,gun,20.0,M,W,Onalaska,TX,True,attack,Not fleeing,False,-95.104,30.815
201,17-03-15,shot,unarmed,22.0,M,H,Sacramento,CA,False,undetermined,Car,False,-121.50399999999999,38.681999999999995
202,18-03-15,shot,gun,49.0,F,W,Glendale,AZ,False,attack,Not fleeing,False,-112.20299999999999,33.582
203,18-03-15,shot,gun,64.0,M,W,Tallahassee,FL,False,attack,Not fleeing,False,-84.279,30.461
204,18-03-15,shot,knife,47.0,M,W,Bakersfield,CA,False,other,Not fleeing,False,-119.015,35.376
205,19-03-15,shot,box cutter,39.0,M,W,Lawrence County,AL,True,other,Not fleeing,True,-87.287,34.566
206,19-03-15,shot,unarmed,18.0,M,B,Cleveland,OH,False,attack,Not fleeing,False,-81.609,41.528999999999996
207,19-03-15,shot,gun,31.0,M,W,Middleton,ID,False,attack,Not fleeing,True,-116.58,43.70399999999999
208,19-03-15,shot,gun,16.0,M,B,Jacksonville,FL,False,attack,Car,False,-81.68,30.379
209,19-03-15,shot,unarmed,20.0,M,W,Sumas,WA,True,attack,Not fleeing,False,-122.273,49.0
210,19-03-15,shot,gun,36.0,M,W,Bakersfield,CA,False,attack,Not fleeing,False,-119.336,35.355
211,20-03-15,shot,machete,63.0,M,B,New Orleans,LA,True,attack,Not fleeing,False,-90.265,29.993000000000002
212,20-03-15,shot,gun,34.0,M,W,Coal County,OK,False,attack,Not fleeing,False,-96.323,34.506
213,20-03-15,shot,gun,24.0,M,N,Red Valley,AZ,False,attack,Car,False,-109.13799999999999,36.466
214,21-03-15,shot,gun,21.0,M,W,Cottonwood,AZ,False,attack,Not fleeing,False,-112.001,34.713
215,21-03-15,shot,gun,44.0,M,W,Clarendon,NY,False,attack,Car,False,-78.047,43.19
216,21-03-15,shot,gun,60.0,M,W,Harmony,IN,True,attack,Not fleeing,False,-87.073,39.534
217,21-03-15,shot,gun,42.0,M,W,Columbus,OH,False,attack,Not fleeing,False,-82.999,40.03
218,22-03-15,shot,knife,37.0,M,W,Vallejo,CA,True,other,Not fleeing,False,-122.22200000000001,38.133
219,22-03-15,shot and Tasered,knife,36.0,M,W,Portland,OR,True,other,Foot,False,-122.53,45.506
220,22-03-15,shot and Tasered,undetermined,21.0,M,B,Islip,NY,False,attack,Car,False,-73.238,40.74
221,23-03-15,shot,gun,24.0,M,B,Santa Clara,CA,False,attack,Not fleeing,False,-121.959,37.361
222,24-03-15,shot,gun,29.0,M,B,Portsmouth,VA,True,attack,Car,False,-76.37,36.819
223,24-03-15,shot,gun,57.0,M,W,San Jose,CA,True,attack,Not fleeing,False,-121.84100000000001,37.302
224,24-03-15,shot,gun,38.0,M,W,Fond du Lac,WI,False,attack,Not fleeing,False,-88.475,43.782
225,25-03-15,shot,undetermined,23.0,M,B,Smyrna,GA,False,other,Car,True,-84.477,33.866
226,25-03-15,shot,gun,27.0,M,B,Johnsonville,SC,False,attack,Foot,False,-79.462,33.819
227,25-03-15,shot,gun,28.0,M,H,South Los Angeles,CA,False,attack,Foot,False,-118.292,33.94
228,25-03-15,shot and Tasered,gun,63.0,M,W,Glendale,AZ,True,other,Not fleeing,False,-112.20299999999999,33.638000000000005
229,26-03-15,shot,gun,53.0,F,W,Gardner,KS,False,attack,Not fleeing,False,-94.91,38.818000000000005
230,26-03-15,shot,knife,35.0,M,H,Wilmington,CA,True,other,Not fleeing,False,-118.271,33.793
231,27-03-15,shot,knife,26.0,F,B,Oxnard,CA,False,other,Not fleeing,False,-119.18299999999999,34.228
232,27-03-15,shot,gun,42.0,M,W,Fort Ashby,WV,False,attack,Car,False,-78.84100000000001,39.469
233,27-03-15,shot,gun,41.0,M,B,Boston,MA,False,attack,Not fleeing,False,-71.089,42.313
234,27-03-15,shot,gun,56.0,M,W,Encinitas,CA,True,attack,Not fleeing,False,-117.242,33.05
235,27-03-15,shot,knife,39.0,M,B,Fort Pierce,FL,False,other,Not fleeing,False,-80.328,27.435
236,27-03-15,shot,toy weapon,23.0,M,H,Bakersfield,CA,False,attack,Car,False,-119.00299999999999,35.396
237,27-03-15,shot,gun,40.0,M,W,Webster,MA,False,attack,Foot,False,-71.878,42.056000000000004
238,29-03-15,shot,gun,29.0,M,B,Elizabethtown,KY,False,attack,Not fleeing,False,-85.889,37.735
239,29-03-15,shot,,26.0,M,W,Jasper,OH,False,attack,Car,False,-83.255,39.083
240,30-03-15,shot,gun,54.0,M,,Boulder City,NV,False,attack,Not fleeing,False,-114.84,35.974000000000004
241,30-03-15,shot,gun,49.0,M,W,Eugene,OR,True,attack,Not fleeing,False,-123.181,44.091
242,31-03-15,shot,gun,36.0,M,W,Carollwood,FL,False,attack,Not fleeing,False,-82.49,28.101999999999997
243,31-03-15,shot,toy weapon,21.0,M,H,Baytown,TX,False,attack,Not fleeing,False,-94.971,29.733
244,31-03-15,shot,vehicle,27.0,F,B,Fort Meade,MD,False,other,Car,False,-76.77,39.115
245,01-04-15,shot,gun,37.0,M,B,Hawthorne,CA,False,attack,Not fleeing,False,-118.337,33.902
246,01-04-15,shot,knife,36.0,M,W,Hamilton,NJ,False,attack,Not fleeing,False,-74.71,40.217
247,02-04-15,shot,gun,32.0,M,B,Rock Island,IL,False,attack,Foot,False,-90.58200000000001,41.5
248,02-04-15,shot,unarmed,44.0,M,B,Tulsa,OK,False,other,Not fleeing,False,-95.94,36.184
249,02-04-15,shot,gun,27.0,M,W,Pineville,LA,True,attack,Not fleeing,False,-92.40700000000001,31.346
250,02-04-15,shot and Tasered,gun,63.0,M,W,Metropolis,IL,True,attack,Not fleeing,False,-88.677,37.176
251,03-04-15,shot,knife,38.0,M,W,Winchester,VA,False,other,Not fleeing,True,-78.128,39.191
